iter	Passed	Remaining
0	1	121
1	2	106
2	3	100
3	3	91
4	4	90
5	5	89
6	6	88
7	7	87
8	8	88
9	9	87
10	10	85
11	11	84
12	12	83
13	13	82
14	14	81
15	15	79
16	16	78
17	16	77
18	17	76
19	18	75
20	19	74
21	20	73
22	21	72
23	23	74
24	24	74
25	25	73
26	26	72
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	32	63
34	33	62
35	34	61
36	36	62
37	38	63
38	39	62
39	41	61
40	42	60
41	42	59
42	43	58
43	46	58
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	59	44
57	60	43
58	61	42
59	62	41
60	62	40
61	63	39
62	64	38
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
