iter	RMSE
0	14.51746262
1	14.04184203
2	13.56515497
3	13.17964727
4	12.7497506
5	12.36064576
6	11.98614528
7	11.65535289
8	11.31326014
9	11.06195884
10	10.74519573
11	10.48435856
12	10.20084553
13	9.959534894
14	9.702571115
15	9.438283915
16	9.245051814
17	9.022401439
18	8.824103289
19	8.640205418
20	8.468500906
21	8.278788481
22	8.10233225
23	7.965323277
24	7.817861385
25	7.703688709
26	7.573931368
27	7.43476551
28	7.30935754
29	7.192011372
30	7.093225146
31	6.989532042
32	6.887238204
33	6.807736842
34	6.721864465
35	6.643957642
36	6.559913945
37	6.487422045
38	6.428925294
39	6.362610394
40	6.300051586
41	6.245390173
42	6.193080293
43	6.145584362
44	6.103423794
45	6.058713864
46	6.02171629
47	5.981593876
48	5.946391743
49	5.916192096
50	5.878269742
51	5.8434213
52	5.807205427
53	5.776288813
54	5.747746195
55	5.718486282
56	5.693117847
57	5.670515983
58	5.647431807
59	5.62550037
60	5.599747962
61	5.581275826
62	5.557601977
63	5.540465302
64	5.523813956
65	5.500836757
66	5.48367621
67	5.460724165
68	5.443842831
69	5.422452481
70	5.404592991
71	5.392071832
72	5.375644233
73	5.355772953
74	5.342304128
75	5.328920091
76	5.31363918
77	5.302955041
78	5.293361063
79	5.278844709
80	5.266151606
81	5.251958644
82	5.24017575
83	5.233161983
84	5.221975648
85	5.214827817
86	5.205103802
87	5.194178555
88	5.187775145
89	5.180987356
90	5.173677819
91	5.166804014
92	5.16091381
93	5.155585524
94	5.146038881
95	5.139696333
96	5.132196354
97	5.122695585
98	5.110621856
99	5.107959477
100	5.10194782
101	5.091819877
102	5.083783975
103	5.0771249
104	5.070888452
105	5.062249764
106	5.052165599
107	5.047275201
108	5.042641144
109	5.037822342
110	5.032486409
111	5.024262379
112	5.014787871
113	5.003414085
114	4.996732563
115	4.993854656
116	4.990747696
117	4.983580336
118	4.979017091
119	4.972101057
120	4.9623774
121	4.956936365
122	4.950719931
123	4.950074703
124	4.944490202
125	4.939352446
126	4.935961746
127	4.930564344
128	4.923282177
129	4.917568366
130	4.912550823
131	4.907188127
132	4.904437905
133	4.90292742
134	4.895940949
135	4.888104442
136	4.883509933
137	4.877779567
138	4.872606171
139	4.869416923
140	4.861577219
141	4.855508389
142	4.852118773
143	4.846034325
144	4.840817301
145	4.834040752
146	4.8280969
147	4.82202472
148	4.8153368
149	4.811687715
150	4.810205052
151	4.806891444
152	4.803109536
153	4.800781767
154	4.795926798
155	4.792235642
156	4.786326478
157	4.781913088
158	4.778199082
159	4.773849618
160	4.771399293
161	4.766558006
162	4.763984977
163	4.76024178
164	4.757676746
165	4.753111468
166	4.750694612
167	4.742822114
168	4.739850425
169	4.737914117
170	4.732222401
171	4.728879631
172	4.726473804
173	4.721814511
174	4.721206388
175	4.71738686
176	4.710038292
177	4.708040519
178	4.703865519
179	4.700839347
180	4.697517251
181	4.692516208
182	4.687182178
183	4.682940364
184	4.679975899
185	4.672364553
186	4.666679296
187	4.662335637
188	4.655744617
189	4.6518228
190	4.64934851
191	4.645856695
192	4.643917944
193	4.637411918
194	4.633317909
195	4.630524341
196	4.626747167
197	4.625698671
198	4.624146733
199	4.62006962
200	4.616395638
201	4.607748764
202	4.597950485
203	4.59237364
204	4.589997216
205	4.580925301
206	4.573613674
207	4.569756367
208	4.565203451
209	4.562459577
210	4.557258213
211	4.553585063
212	4.55028983
213	4.547317004
214	4.543893916
215	4.540905078
216	4.538650336
217	4.534993951
218	4.534278145
219	4.532088577
220	4.528221871
221	4.523102294
222	4.518643974
223	4.515011951
224	4.510733396
225	4.508152756
226	4.503162724
227	4.500854793
228	4.498740643
229	4.489830063
230	4.484260335
231	4.477961594
232	4.477322604
233	4.47166761
234	4.469057124
235	4.468775131
236	4.462872144
237	4.458494577
238	4.451782011
239	4.448019694
240	4.44602025
241	4.444054784
242	4.442074158
243	4.439625407
244	4.437314636
245	4.43435849
246	4.432016388
247	4.426775504
248	4.424295366
249	4.418259009
250	4.413156003
251	4.407610327
252	4.401831817
253	4.399707951
254	4.398305873
255	4.394930548
256	4.391675354
257	4.388734453
258	4.3805465
259	4.376229402
260	4.373711187
261	4.371112339
262	4.367806693
