iter	Passed	Remaining
0	1	776
1	3	750
2	4	726
3	5	676
4	6	662
5	7	635
6	8	619
7	9	607
8	11	600
9	12	591
10	13	585
11	14	582
12	15	578
13	17	599
14	18	598
15	19	591
16	20	591
17	21	587
18	23	582
19	24	577
20	25	572
21	26	567
22	27	564
23	28	563
24	29	560
25	30	558
26	32	564
27	33	565
28	34	560
29	35	555
30	36	550
31	37	545
32	38	541
33	39	537
34	40	532
35	41	528
36	42	526
37	43	523
38	44	521
39	46	537
40	48	538
41	49	538
42	50	536
43	51	534
44	52	532
45	53	529
46	54	528
47	55	525
48	56	523
49	57	520
50	58	517
51	60	525
52	63	531
53	64	532
54	65	531
55	66	529
56	67	527
57	69	527
58	70	527
59	71	526
60	73	525
61	74	525
62	75	525
63	76	523
64	77	520
65	78	517
66	79	514
67	80	512
68	81	509
69	82	506
70	83	504
71	84	501
72	85	501
73	86	498
74	87	497
75	89	501
76	91	500
77	92	498
78	92	495
79	93	492
80	94	490
81	95	489
82	96	486
83	98	485
84	99	483
85	100	482
86	101	480
87	102	479
88	104	480
89	105	481
90	106	479
91	108	479
92	109	478
93	110	476
94	111	474
95	112	473
96	113	471
97	114	469
98	115	468
99	116	464
100	117	462
101	118	464
102	120	463
103	121	461
104	122	460
105	123	458
106	124	457
107	125	455
108	127	457
109	129	457
110	132	463
111	133	463
112	135	463
113	137	465
114	138	464
115	140	464
116	141	462
117	144	466
118	145	465
119	146	465
120	148	464
121	149	464
122	151	463
123	151	460
124	153	459
125	154	458
126	155	457
127	158	459
128	159	459
129	161	458
130	162	457
131	163	457
132	165	456
133	166	455
134	168	454
135	169	453
136	186	494
137	187	493
138	191	496
139	192	494
140	194	494
141	195	493
142	197	492
143	198	490
144	210	514
145	212	515
146	213	513
147	215	513
148	217	512
149	219	511
150	222	513
151	224	512
152	225	511
153	226	509
154	227	506
155	228	504
156	230	502
157	231	500
158	232	497
159	233	495
160	234	493
161	237	495
162	238	494
163	240	491
164	241	490
165	242	487
166	243	485
167	244	483
168	245	481
169	247	479
170	248	477
171	249	475
172	251	475
173	252	473
174	253	471
175	255	469
176	256	467
177	257	465
178	258	463
179	259	461
180	260	459
181	261	456
182	262	454
183	264	453
184	265	451
185	266	450
186	267	448
187	269	446
188	270	444
189	271	442
190	272	440
191	272	437
192	273	435
193	274	433
194	275	431
195	276	429
196	278	428
197	281	429
198	284	430
199	285	428
200	286	426
201	287	424
202	288	422
203	289	420
204	290	418
205	292	417
206	293	415
207	294	413
208	296	412
209	297	411
210	298	409
211	299	407
212	300	405
213	301	403
214	302	401
215	303	399
216	304	397
217	305	395
218	306	393
219	307	391
220	308	389
221	309	387
222	311	386
223	312	384
224	313	382
225	314	380
226	315	379
227	316	377
228	316	375
229	317	373
230	318	371
231	320	369
232	321	367
233	321	365
234	322	364
235	323	362
236	325	361
237	326	359
238	327	358
239	328	356
240	329	354
241	330	352
242	331	350
243	332	348
244	333	347
245	334	345
